2023-10-05T00:06:39.362+02:00  INFO 24720 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:19:24.594+02:00  INFO 16992 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-10-05T00:19:24.595+02:00  INFO 16992 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-10-05T00:19:24.708+02:00  INFO 16992 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-10-05T00:19:24.709+02:00  INFO 16992 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1674 ms
2023-10-05T00:19:24.860+02:00  INFO 16992 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-10-05T00:19:25.039+02:00  INFO 16992 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@51c65a43
2023-10-05T00:19:25.040+02:00  INFO 16992 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-10-05T00:19:25.197+02:00  INFO 16992 --- [main] liquibase.database                       : Set default schema name to public
2023-10-05T00:19:25.385+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.392+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.399+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.410+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.417+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.421+02:00  INFO 16992 --- [main] liquibase.lockservice                    : Successfully acquired change log lock
2023-10-05T00:19:25.442+02:00  INFO 16992 --- [main] liquibase.changelog                      : Creating database history table with name: public.databasechangelog
2023-10-05T00:19:25.454+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.459+02:00  INFO 16992 --- [main] liquibase.changelog                      : Reading from public.databasechangelog
2023-10-05T00:19:25.465+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.471+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.570+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.577+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::1::fomich ran successfully in 43ms
2023-10-05T00:19:25.583+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.587+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.608+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.616+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::2::fomich ran successfully in 21ms
2023-10-05T00:19:25.620+02:00  INFO 16992 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:19:25.643+02:00  INFO 16992 --- [main] liquibase.changelog                      : Custom SQL executed
2023-10-05T00:19:25.649+02:00  INFO 16992 --- [main] liquibase.changelog                      : ChangeSet db/changelog/db.changelog-1.0.sql::3::fomich ran successfully in 24ms
